"id","label_en","label_ko"
"fiction","Fiction","소설"
"nonfiction","Nonfiction","비소설"
"business","Business/Economics","경제경영"
"self-help","Self-help","자기계발"
"professional","Professional","직업/실무"
"science-tech","Science/Technology","과학/기술"
"humanities","Humanities/Social Science","인문/사회"
"biography","Biography","인물전기"
"arts","Arts","예술/미술"
"lifestyle","Lifestyle/Health","실용/건강"
"parenting","Parenting","자녀교육"
"picturebook","Picture Books","그림책"
"baby","Baby/Toddler","아동(0-6)"
"early","Early Grade","아동(7-9)"
"middle","Middle Grade","아동(10-12)"
"ya","YA","청소년"
"all-ages","All Ages","전연령"
"series","Series","시리즈"
"comics","Comics","만화"
